,latitude,longitude,date,time,confidence,latitude_clean,longitude_clean
396,38.14,13.11,2023-07-24,1232,h,38.14,13.11
397,38.14,13.11,2023-07-24,1232,h,38.14,13.11
398,38.16,15.7,2023-07-24,1232,h,38.16,15.7
399,39.27,8.87,2023-07-24,1232,h,39.27,8.87
400,39.27,8.87,2023-07-24,1232,h,39.27,8.87
401,39.27,8.88,2023-07-24,1232,h,39.27,8.88
402,40.69,16.37,2023-07-24,1232,h,40.69,16.37
403,37.94,12.83,2023-07-25,52,h,37.94,12.83
404,38.03,13.29,2023-07-25,52,h,38.03,13.29
405,38.07,13.35,2023-07-25,52,h,38.07,13.35
406,38.14,12.77,2023-07-25,52,h,38.14,12.77
407,38.16,13.28,2023-07-25,52,h,38.16,13.28
408,38.16,12.76,2023-07-25,52,h,38.16,12.76
409,38.17,13.28,2023-07-25,52,h,38.17,13.28
410,38.18,13.28,2023-07-25,52,h,38.18,13.28
411,38.18,13.29,2023-07-25,52,h,38.18,13.29
412,38.18,13.28,2023-07-25,52,h,38.18,13.28
413,38.18,13.28,2023-07-25,52,h,38.18,13.28
414,38.19,13.29,2023-07-25,52,h,38.19,13.29
415,38.26,15.55,2023-07-25,52,h,38.26,15.55
416,36.8,12.04,2023-07-25,1212,h,36.8,12.04
417,36.8,12.04,2023-07-25,1212,h,36.8,12.04
418,37.05,15.12,2023-07-25,1212,h,37.05,15.12
419,37.05,15.12,2023-07-25,1212,h,37.05,15.12
420,37.18,15.15,2023-07-25,1212,h,37.18,15.15
421,37.18,15.14,2023-07-25,1212,h,37.18,15.14
422,37.25,15.08,2023-07-25,1212,h,37.25,15.08
423,37.25,15.08,2023-07-25,1212,h,37.25,15.08
424,37.25,15.09,2023-07-25,1212,h,37.25,15.09
425,37.25,14.25,2023-07-25,1212,h,37.25,14.25
426,37.26,15.1,2023-07-25,1212,h,37.26,15.1
427,37.27,15.11,2023-07-25,1212,h,37.27,15.11
428,37.55,15.04,2023-07-25,1214,h,37.55,15.04
429,37.55,15.04,2023-07-25,1214,h,37.55,15.04
430,37.57,15.13,2023-07-25,1214,h,37.57,15.13
431,37.57,15.14,2023-07-25,1214,h,37.57,15.14
432,37.63,13.67,2023-07-25,1214,h,37.63,13.67
433,37.68,14.11,2023-07-25,1214,h,37.68,14.11
434,37.68,14.12,2023-07-25,1214,h,37.68,14.12
435,37.72,15.21,2023-07-25,1214,h,37.72,15.21
436,37.72,15.13,2023-07-25,1214,h,37.72,15.13
437,37.73,15.14,2023-07-25,1214,h,37.73,15.14
438,37.77,15.2,2023-07-25,1214,h,37.77,15.2
439,37.77,15.2,2023-07-25,1214,h,37.77,15.2
440,37.78,15.2,2023-07-25,1214,h,37.78,15.2
441,37.8,13.89,2023-07-25,1214,h,37.8,13.89
442,37.81,13.89,2023-07-25,1214,h,37.81,13.89
443,37.84,13.79,2023-07-25,1214,h,37.84,13.79
444,37.85,13.79,2023-07-25,1214,h,37.85,13.79
445,37.85,13.79,2023-07-25,1214,h,37.85,13.79
446,37.85,13.78,2023-07-25,1214,h,37.85,13.78
447,37.85,13.78,2023-07-25,1214,h,37.85,13.78
448,37.85,13.78,2023-07-25,1214,h,37.85,13.78
449,37.87,13.06,2023-07-25,1214,h,37.87,13.06
450,37.88,13.82,2023-07-25,1214,h,37.88,13.82
451,37.88,13.04,2023-07-25,1214,h,37.88,13.04
